age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
61.602,61616.229,176.154,1.496,4996.097,1.632,58843.83973763719,2772.3892623628126,162.60124662694267,13.552753373057328,1.764500862413086,-0.268500862413086,4968.110679328387,27.986320671612702,1.7883455976868734,-0.1563455976868735
61.562,60850.005,159.148,1.802,5098.01,2.587,59159.23256220363,1690.7724377963677,163.75105516808966,-4.603055168089668,1.780693158705068,0.02130684129493199,4995.032589138468,102.97741086153201,1.7980198087910464,0.7889801912089538
61.522,61152.337,182.834,1.227,5073.762,1.496,59468.49586803245,1683.8411319675506,164.90985610258105,17.924143897418958,1.7983190936942999,-0.5713190936942998,5021.5892681632395,52.17273183676025,1.8076826403105795,-0.31168264031057946
61.482,61224.101,144.87,1.657,5203.934,1.867,59770.1340092639,1453.9669907361022,166.07538406791815,-21.205384067918146,1.8173474036686694,-0.1603474036686694,5047.699527404605,156.23447259539535,1.8173896040926945,0.04961039590730554
61.443,60760.381,183.863,1.828,4892.351,2.798,60055.60555822427,704.7754417757315,167.21668326678068,16.646316733219322,1.8371972432830874,-0.009197243283087353,5072.664013199035,-180.3130131990356,1.826958091992969,0.9710419080070309
61.403,61053.715,131.796,1.877,5124.794,1.371,60338.38031805419,715.3346819458093,168.3912972730348,-36.59529727303482,1.8588086258182663,0.018191374181733666,5097.712480739501,27.08151926049868,1.8369496947871409,-0.4659496947871409
61.363,61061.073,179.334,1.995,5198.497,2.112,60609.97265234901,451.1003476509868,169.56965309400564,9.764346905994358,1.8815867208472654,0.11341327915273469,5122.160520317646,76.33647968235437,1.847199324408197,0.2648006755918031
61.323,60832.5,179.253,2.175,5097.656,1.723,60869.47621915686,-36.97621915685886,170.7520242601242,8.500975739875798,1.9054078374116457,0.26959216258835417,5145.983586493265,-48.32758649326479,1.8577902329143414,-0.13479023291434133
61.283,59350.326,171.505,1.544,5327.106,1.754,61116.12142165248,-1765.7954216524813,171.93930182926687,-0.43430182926687166,1.9301295290776757,-0.3861295290776756,5169.169043595721,157.93695640427904,1.8688084594156535,-0.11480845941565354
61.243,59607.703,159.52,1.293,5229.128,1.767,61349.27082427144,-1741.567824271442,173.13294677927058,-13.612946779270573,1.9555935394743713,-0.6625935394743714,5191.714773669307,37.41322633069285,1.8803408914339883,-0.1133408914339884
61.204,61426.595,177.734,2.98,5255.082,1.066,61563.11198878217,-136.51698878216848,174.30474365952261,3.4292563404773944,1.9809725951622568,0.9990274048377432,5213.087427433799,41.994572566200986,1.8921620019502878,-0.8261620019502878
61.164,63054.002,187.214,2.132,5164.573,2.701,61768.23952593846,1285.762474061543,175.51706651983255,11.696933480167445,2.0073918991292157,0.12460810087078444,5234.396861293319,-69.82386129331826,1.9049590691416038,0.7960409308583962
61.124,62928.482,205.573,2.403,5171.862,1.663,61958.745443911655,969.7365560883482,176.74254568954635,28.83045431045366,2.03402126515333,0.36897873484667,5255.106881878813,-83.24488187881252,1.918514864453495,-0.255514864453495
61.084,64556.097,194.331,1.601,5485.568,2.453,62134.52043869839,2421.576561301612,177.98380437062883,16.347195629371157,2.060672148753032,-0.459672148753032,5275.241097783483,210.32690221651683,1.9329010339364547,0.5200989660635451
61.044,62449.298,178.185,2.186,5307.51,1.706,62295.60158421823,153.69641578177107,179.24331993210532,-1.05831993210532,2.087156576083074,0.09884342391692602,5294.82529205432,12.684707945680202,1.9481814307338787,-0.24218143073387877
61.004,64118.995,191.252,1.996,5298.245,1.219,62442.18065194651,1676.8143480534927,180.52320189350309,10.728798106496924,2.1132902617261475,-0.11729026172614754,5313.885720004884,-15.640720004884315,1.9644109172954272,-0.7454109172954271
60.965,65789.47,143.196,1.377,5562.101,1.678,62571.46957984073,3218.0004201592747,181.7921476440906,-38.59614764409059,2.138263283643177,-0.7612632836431772,5331.989334245876,230.11166575412335,1.9811913144066151,-0.3031913144066152
60.925,65014.699,164.562,1.959,5348.38,2.41,62690.6076925748,2324.091307425202,183.11593551158163,-18.553935511581614,2.163191606556772,-0.2041916065567717,5350.0865686863435,-1.7065686863434166,1.9994163434417493,0.4105836565582508
60.885,62938.84,169.349,1.167,5227.263,1.289,62796.792512676926,142.04748732307053,184.46204464876453,-15.113044648764543,2.1872714835990807,-1.0202714835990807,5367.725713416359,-140.4627134163593,2.018690191084373,-0.7296901910843732
60.845,65182.659,178.4,4.692,5536.179,2.14,62890.87936275765,2291.7796372423472,185.82907479377178,-7.429074793771775,2.2103615074120952,2.481638492587905,5384.920380940348,151.25861905965212,2.039021207878436,0.10097879212156391
60.805,62857.221,192.742,2.45,5288.385,2.217,62973.88339136545,-116.66239136545482,187.21439602722,5.5276039727799855,2.232337242259641,0.21766275774035915,5401.678376780606,-113.2933767806062,2.0604024738922138,0.15659752610778632
60.765,63560.86,210.94,2.019,5460.429,1.93,63046.96615124718,513.8938487528212,188.6141221714446,22.325877828555406,2.253093140757673,-0.23409314075767274,5418.001243944664,42.42775605533643,2.0828095557161417,-0.15280955571614174
60.726,63596.169,174.521,2.194,5500.822,2.449,63109.899566687294,486.2694333127074,189.987862282415,-15.466862282415008,2.27207421702321,-0.07807421702321005,5433.492552935704,67.32944706429589,2.105601558010602,0.34339844198939806
60.686,63070.103,159.196,2.549,5344.163,2.587,63167.273478569805,-97.17047856980207,191.40000471710417,-32.20400471710417,2.2901910705183974,0.2588089294816025,5448.936229082212,-104.77322908221231,2.129880729077052,0.45711927092294813
60.646,63059.686,165.656,1.482,5466.934,2.315,63218.837771676306,-159.15177167630463,192.80831358715872,-27.152313587158716,2.3068976808630586,-0.8248976808630586,5463.913603024049,3.020396975951371,2.154979904145726,0.16002009585427412
60.606,64063.056,205.695,3.091,5406.318,2.563,63266.10353751294,796.9524624870537,194.20497850819697,11.49002149180302,2.322172686030053,0.7688273139699473,5478.40459776575,-72.0865977657495,2.180773409405744,0.38222659059425634
60.566,63157.736,215.256,2.728,5403.372,1.221,63310.59396234123,-152.85796234122972,195.58174759578654,19.674252404213462,2.3360150503039927,0.3919849496960075,5492.386449055238,-89.01444905523749,2.2071011760751187,-0.9861011760751186
60.527,62192.236,181.314,2.701,5568.128,2.292,63352.73427120841,-1160.4982712084093,196.89690995820527,-15.582909958205278,2.348148650128204,0.3528513498717962,5505.5058815985685,62.62211840143118,2.233096970704677,0.058903029295322984
