model,dataset,core,sapropel,element,p_fold,p_hopf,p_transcritical,p_null,argmax_class
mrsqm,ts_1500,64PE406E1,S5,U,0.0135,0.0121,0.9744,0.0,transcritical
mrsqm,ts_1500,64PE406E1,S6,Mo,0.0,0.2116,0.7884,0.0,transcritical
mrsqm,ts_1500,64PE406E1,S6,U,0.0,0.4236,0.5763,0.0,transcritical
mrsqm,ts_1500,MS21,S1,Mo,0.0,0.9608,0.0392,0.0,hopf
mrsqm,ts_1500,MS21,S1,U,0.001,0.0036,0.9954,0.0,transcritical
mrsqm,ts_1500,MS66,S1,Mo,0.0,0.0001,0.9999,0.0,transcritical
mrsqm,ts_1500,MS66,S1,U,0.0,0.0502,0.9497,0.0,transcritical
mrsqm,ts_1500,MS66,S3,Mo,0.0091,0.0934,0.8975,0.0,transcritical
mrsqm,ts_1500,MS66,S3,U,0.0079,0.4081,0.5841,0.0,transcritical
mrsqm,ts_500,64PE406E1,S3,Mo,0.0,1.0,0.0,0.0,hopf
mrsqm,ts_500,64PE406E1,S3,U,0.0,0.9089,0.0911,0.0,hopf
mrsqm,ts_500,64PE406E1,S4,Mo,0.0,0.9811,0.0189,0.0,hopf
mrsqm,ts_500,64PE406E1,S4,U,0.0,0.0471,0.9529,0.0,transcritical
mrsqm,ts_500,64PE406E1,S5,Mo,0.0,0.9996,0.0004,0.0,hopf
mrsqm,ts_500,64PE406E1,S5,U,0.0,0.9994,0.0006,0.0,hopf
mrsqm,ts_500,64PE406E1,S6,Mo,0.0,0.9998,0.0002,0.0,hopf
mrsqm,ts_500,64PE406E1,S6,U,0.0,1.0,0.0,0.0,hopf
mrsqm,ts_500,MS21,S1,Mo,0.0562,0.792,0.1517,0.0001,hopf
mrsqm,ts_500,MS21,S1,U,0.2782,0.3342,0.1737,0.2139,hopf
mrsqm,ts_500,MS66,S1,Mo,0.0001,0.1637,0.8362,0.0,transcritical
mrsqm,ts_500,MS66,S1,U,0.0005,0.9029,0.0966,0.0,hopf
mrsqm,ts_500,MS66,S3,Mo,0.0,1.0,0.0,0.0,hopf
mrsqm,ts_500,MS66,S3,U,0.0003,0.8917,0.108,0.0,hopf
multirocket,ts_1500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S3,U,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S4,Mo,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S4,U,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S5,Mo,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S5,U,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S6,Mo,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,64PE406E1,S6,U,1.0,0.0,0.0,0.0,fold
multirocket,ts_1500,MS21,S1,Mo,1.0,0.0,0.0,0.0,fold
